Soundtype/Voicesetid	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78
LearnSpell2	5057	5157	5257	5357	5457	5557	5657	5757	5857	5957	6057	6157	6257	6357	6457	6557	6657	6757	6857	6957	7057	7157	7257	7357	7457	7557	7657	7757	7857	7957	7457	41081	40927	41148	41012	40478	40700	43539	43139	0	0	0	0	0	0	0	0	0	0	40341	40621	40404	40775	40546	40854	41508	41659	41584	41737	41816	0	0	41290	41366	41436	8057	8157	8257	8357	8457	8557	8657	8757	8857	8957	9057	9157	9257	0
CantLearn1	5058	5158	5258	5358	5458	5558	5658	5758	5858	5958	6058	6158	6258	6358	6458	6558	6658	6758	6858	6958	7058	7158	7258	7358	7458	7558	7658	7758	7858	7958	7458	41082	40928	41149	41013	40479	40701	43546	43146	43646	43246	44046	43346	44546	43446	44146	44246	44346	44446	40342	40622	40405	40776	40547	40855	41509	41660	41585	41738	41817	41887	41216	41291	41367	41437	8058	8158	8258	8358	8458	8558	8658	8758	8858	8958	9058	9158	9258	9358
CantLearn2	5059	5159	5259	5359	5459	5559	5659	5759	5859	5959	6059	6159	6259	6361	6459	6559	6659	6759	6859	6959	7059	7159	7259	7359	7459	7559	7659	7759	7859	7959	7459	41083	40928	41149	41014	40480	40701	0	0	0	0	0	0	0	0	0	0	0	0	40342	40623	40406	40777	40547	40856	41509	41660	41586	41739	0	0	0	0	41368	0	8059	8159	8259	8359	8459	8559	8659	8759	8859	8959	9059	9159	0	0
CantEquip1	5060	5160	5260	5360	5460	5560	5660	5760	5860	5960	6060	6160	6260	6360	6460	6560	6660	6760	6860	6960	7060	7160	7260	7360	7460	7560	7660	7760	7860	7960	7460	41084	40929	41150	41015	40481	40702	43502	43102	43602	43202	44002	43302	44502	43402	44102	44202	44302	44402	40343	40624	40407	40778	40548	40857	41510	41661	41587	41740	41818	41888	41217	41292	41369	41438	8060	8160	8260	8360	8460	8560	8660	8760	8860	8960	9060	9160	9260	9360
CantEquip2	5061	5161	5261	5361	5461	5561	5661	5761	5861	5961	6061	6161	6261	6361	6461	6561	6661	6761	6861	6961	7061	7161	7261	7361	7461	7561	7661	7761	7861	7961	7461	41085	40930	41150	41016	40482	40702	0	0	0	0	0	0	0	0	0	0	0	0	40343	40625	40407	40779	40548	40858	41511	41662	41588	41741	41819	0	41218	0	41370	0	8061	8161	8261	8361	8461	8561	8661	8761	8861	8961	9061	9161	9261	0
Hello1	5062	5162	5262	5362	5462	5562	5662	5762	5862	5962	6062	6162	6262	6362	6462	6562	6662	6762	6862	6962	7062	7162	7262	7362	7462	7562	7662	7762	7862	7962	7462	41086	40931	41151	41017	40483	40703	43560	43160	43660	43260	44060	43360	44560	43460	44160	44260	44360	44460	40344	40626	40408	40780	40549	40859	41512	41663	41589	41742	41820	41889	41219	41293	41371	41439	8062	8162	8262	8362	8462	8562	8662	8762	8862	8962	9062	9162	9262	9362
Hello2	5063	5163	5263	5363	5463	5563	5663	5763	5863	5963	6063	6163	6263	6363	6463	6563	6663	6763	6863	6963	7063	7163	7263	7363	7463	7563	7663	7763	7863	7963	7463	41087	40932	41152	41017	40484	40704	43561	43161	43661	43261	44061	43361	44561	0	44161	44261	0	0	40344	40626	40408	40781	40549	40860	41513	41664	41590	41743	41821	41890	0	0	41372	0	8063	8163	8263	8363	8463	8563	8663	8763	8863	8963	9063	9163	9263	9363
Hello3	5064	5164	5264	5364	5464	5564	5664	5764	5864	5964	6064	6164	6264	6364	6464	6564	6664	6764	6864	6964	7064	7164	7264	7364	7464	7564	7664	7764	7864	7964	7464	41088	40933	41153	41018	40485	40705	43562	43162	43662	43262	44062	43362	44562	43462	44162	44262	44362	44462	40345	40627	40409	40782	40550	40861	41514	41665	41591	41744	41822	41891	41220	41294	41373	41440	8064	8164	8264	8364	8464	8564	8664	8764	8864	8964	9064	9164	9264	9364
Hello4	5065	5165	5265	5365	5465	5565	5665	5765	5865	5965	6065	6165	6265	6365	6465	6565	6665	6765	6865	6965	7065	7165	7265	7365	7465	7565	7665	7765	7865	7965	7465	41088	40933	41153	41018	40486	40705	0	0	43663	0	44063	0	0	43463	44163	0	44363	44463	40345	40627	40409	40782	40550	40861	41514	41666	41592	41745	0	0	41221	0	41374	0	8065	8165	8265	8365	8465	8565	8665	8765	8865	8965	9065	9165	0	0
Hello5	5066	5166	5266	5366	5466	5566	5666	5766	5866	5966	6066	6166	6266	6366	6466	6566	6666	6766	6866	6966	7066	7166	7266	7366	7466	7566	7666	7766	7866	7966	7466	41089	40934	41154	41019	40487	40706	43560	43160	43660	43260	44060	43360	44560	43460	44160	44260	44360	44460	40346	40628	40410	40783	40551	40862	41515	41667	41593	41746	41823	41892	41222	41295	41375	41441	8066	8166	8266	8366	8466	8566	8666	8766	8866	8966	9066	9166	9266	9366
Hello6	5067	5167	5267	5367	5467	5567	5667	5767	5867	5967	6067	6167	6267	6367	6467	6567	6667	6767	6867	6967	7067	7167	7267	7367	7467	7567	7667	7767	7867	7967	7467	41090	40934	41154	41019	40487	40706	43562	43162	43662	43262	44062	43362	44562	43462	44162	44262	44362	44462	40346	40628	40410	40783	40551	40862	41516	41668	41593	41746	0	0	0	0	41376	0	8067	8167	8267	8367	8467	8567	8667	8767	8867	8967	9067	9167	0	0
n/uCurse1	5068	5168	5268	5368	5468	5568	5668	5768	5868	5968	6068	6168	6268	6368	6468	6568	6668	6768	6868	6968	7068	7168	7268	7368	7468	7568	7668	7768	7868	7968	7468	41091	40935	41155	41020	40488	40707	0	0	0	0	0	0	0	0	0	0	0	0	40347	40629	40411	40784	40552	40863	41517	41669	41594	41747	41824	41893	41223	41296	41377	41442	8068	8168	8268	8368	8468	8568	8668	8768	8868	8968	9068	9168	9268	9368
n/uCurse2	5069	5169	5269	5369	5469	5569	5669	5769	5869	5969	6069	6169	6269	6369	6469	6569	6669	6769	6869	6969	7069	7169	7269	7369	7469	7569	7669	7769	7869	7969	7469	41092	40935	41155	41021	40488	40708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40785	40553	0	41518	41670	41595	0	41825	41894	41224	41297	0	41443	8069	8169	8269	8369	8469	8569	8669	8769	8869	8969	9069	9169	9269	9369
n/uLaughter1	5070	5170	5270	5370	5470	5570	5670	5770	5870	5970	6070	6170	6270	6370	6470	6570	6670	6770	6870	6970	7070	7170	7270	7370	7470	7570	7670	7770	7870	7970	7470	41093	40936	41156	41022	40489	40709	0	0	0	0	0	0	0	0	0	0	0	0	40348	40630	40412	40786	40554	40864	41519	41671	41596	41748	41826	41895	41225	41298	41378	41444	8070	8170	8270	8370	8470	8570	8670	8770	8870	8970	9070	9170	9270	9370
n/uLaughter2	5071	5171	5271	5371	5471	5571	5671	5771	5871	5971	6071	6171	6271	6371	6471	6571	6671	6771	6871	6971	7071	7171	7271	7371	7471	7571	7671	7771	7871	7971	7471	41093	40937	41157	41022	40489	40709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41520	41672	41597	0	41827	41896	41226	41299	41379	41445	8071	8171	8271	8371	8471	8571	8671	8771	8871	8971	9071	9171	9271	9371
Win!1	5072	5172	5272	5372	5472	5572	5672	5772	5872	5972	6072	6172	6272	6372	6472	6572	6672	6772	6872	6972	7072	7172	7272	7372	7472	7572	7672	7772	7872	7972	7472	41094	40938	41158	41023	40490	40710	43564	43164	43664	43264	44064	43364	44564	43464	44164	44264	44364	44464	40349	40631	40413	40787	40555	40865	41521	41673	41598	41749	41828	41897	41227	41300	41380	41446	8072	8172	8272	8372	8472	8572	8672	8772	8872	8972	9072	9172	9272	9372
Win!2	5073	5173	5273	5373	5473	5573	5673	5773	5873	5973	6073	6173	6273	6373	6473	6573	6673	6773	6873	6973	7073	7173	7273	7373	7473	7573	7673	7773	7873	7973	7473	41095	40939	41159	41024	40491	40711	43565	0	43665	43265	44065	43365	0	0	0	44265	0	44465	40350	40632	40414	40788	40556	40866	41522	41674	41599	0	41829	41898	41228	41301	41381	41447	8073	8173	8273	8373	8473	8573	8673	8773	8873	8973	9073	9173	9273	9373
Heh1	5074	5174	5274	5374	5474	5574	5674	5774	5874	5974	6074	6174	6274	6374	6474	6574	6674	6774	6874	6974	7074	7174	7274	7374	7474	7574	7674	7774	7874	7974	7474	41096	40940	41160	41025	40492	40712	43514	43114	43614	43214	44014	43314	44514	43414	44114	44214	44314	44414	40351	40633	40415	40789	40557	40867	41523	41675	41600	41750	41830	41899	41229	41302	41382	41448	8074	8174	8274	8374	8474	8574	8674	8774	8874	8974	9074	9174	9274	9374
Heh2	5075	5175	5275	5375	5475	5575	5675	5775	5875	5975	6075	6175	6275	6375	6475	6575	6675	6775	6875	6975	7075	7175	7275	7375	7475	7575	7675	7775	7875	7975	7475	41096	40941	41161	41026	40493	40713	0	43115	0	43215	0	0	0	0	44115	0	0	44415	40352	40634	0	40790	40558	40868	41524	0	41601	41751	41831	0	41230	41303	41383	41449	8075	8175	8275	8375	8475	8575	8675	8775	8875	8975	9075	9175	9275	0
LastStanding1	5076	5176	5276	5376	5476	5576	5676	5776	5876	5976	6076	6176	6276	6376	6476	6576	6676	6776	6876	6976	7076	7176	7276	7376	7476	7576	7676	7776	7876	7976	7476	41097	40942	41162	41027	40494	40714	0	0	0	0	0	0	0	0	0	0	0	0	40353	40635	40416	40791	40559	40869	41525	41676	41602	41752	41832	41900	41231	41304	41384	41450	8076	8176	8276	8376	8476	8576	8676	8776	8876	8976	9076	9176	9276	9376
LastStanding2	5077	5177	5277	5377	5477	5577	5677	5777	5877	5977	6077	6177	6277	6377	6477	6577	6677	6777	6877	6977	7077	7177	7277	7377	7477	7577	7677	7777	7877	7977	7477	41097	40942	41162	41027	40494	40715	0	0	0	0	0	0	0	0	0	0	0	0	0	40636	0	0	0	40870	41526	0	0	0	0	0	0	41305	0	0	8077	8177	8277	8377	8477	8577	8677	8777	8877	8977	9077	9177	0	0
Leave1	5078	5178	5278	5378	5478	5578	5678	5778	5878	5978	6078	6178	6278	6378	6478	6578	6678	6778	6878	6978	7078	7178	7278	7378	7478	7578	7678	7778	7878	7978	7478	41098	40943	41163	41028	40495	40716	43550	43150	43650	43250	44050	43350	44550	43450	44150	44250	44350	44450	40354	40637	40417	40792	40560	40871	41527	41677	41603	41753	41833	41901	41232	41306	41385	41451	8078	8178	8278	8378	8478	8578	8678	8778	8878	8978	9078	9178	9278	9378
Leave2	5079	5179	5279	5379	5479	5579	5679	5779	5879	5979	6079	6179	6279	6379	6479	6579	6679	6779	6879	6979	7079	7179	7279	7379	7479	7579	7679	7779	7879	7979	7479	41098	40944	41163	41028	40496	40717	43551	43151	0	43251	44051	43351	0	43451	44151	0	0	0	0	40638	40418	40793	0	40872	0	0	0	0	0	0	0	41307	0	0	8079	8179	8279	8379	8479	8579	8679	8779	8879	8979	9079	9179	0	0
Enter1	5080	5180	5280	5380	5480	5580	5680	5780	5880	5980	6080	6180	6280	6380	6480	6580	6680	6780	6880	6980	7080	7180	7280	7380	7480	7580	7680	7780	7880	7980	7480	41099	40945	41164	41029	40497	40718	43558	43158	43658	43258	44058	43358	44558	43458	44158	44258	44358	44458	40355	40639	40419	40794	40561	40873	41528	41678	41604	41754	41834	41902	41233	41308	41386	41452	8080	8180	8280	8380	8480	8580	8680	8780	8880	8980	9080	9180	9280	9380
Enter2	5081	5181	5281	5381	5481	5581	5681	5781	5881	5981	6081	6181	6281	6381	6481	6581	6681	6781	6881	6981	7081	7181	7281	7381	7481	7581	7681	7781	7881	7981	7481	41099	40946	41165	41029	40498	40718	43559	43159	43659	43259	44059	43359	44559	43459	44159	44259	44359	0	40356	40640	0	40795	0	40874	0	41679	41605	0	0	0	0	41309	0	0	8081	8181	8281	8381	8481	8581	8681	8781	8881	8981	9081	9181	0	0
Yes1	5082	5182	5282	5382	5482	5582	5682	5782	5882	5982	6082	6182	6282	6382	6482	6582	6682	6782	6882	6982	7082	7182	7282	7382	7482	7582	7682	7782	7882	7982	7482	41100	40947	41166	41030	40499	40719	43500	43100	43600	43200	44000	43300	44500	43400	44100	44200	44300	44400	40357	40641	40420	40796	40562	40875	41529	41680	41606	41755	41835	41903	41234	41310	41387	41453	8082	8182	8282	8382	8482	8582	8682	8782	8882	8982	9082	9182	9282	9382
Yes2	5083	5183	5283	5383	5483	5583	5683	5783	5883	5983	6083	6183	6283	6383	6483	6583	6683	6783	6883	6983	7083	7183	7283	7383	7483	7583	7683	7783	7883	7983	7483	41100	40947	41166	41030	40499	40719	43501	0	0	0	0	0	0	0	0	0	0	0	0	40642	40421	0	0	0	0	41681	0	0	41836	0	0	0	0	0	8083	8183	8283	8383	8483	8583	8683	8783	8883	8983	9083	9183	9283	0
Thanks1	5084	5184	5284	5384	5484	5584	5684	5784	5884	5984	6084	6184	6284	6384	6484	6584	6684	6784	6884	6984	7084	7184	7284	7384	7484	7584	7684	7784	7884	7984	7484	41101	40948	41167	41031	40500	40720	43556	43156	43656	43256	44056	43356	44556	43456	44156	44256	44356	44456	40358	40643	40422	40797	40563	40876	41530	41682	41607	41756	41837	41904	41235	41311	41388	41454	8084	8184	8284	8384	8484	8584	8684	8784	8884	8984	9084	9184	9284	9384
Thanks2	5085	5185	5285	5385	5485	5585	5685	5785	5885	5985	6085	6185	6285	6385	6485	6585	6685	6785	6885	6985	7085	7185	7285	7385	7485	7585	7685	7785	7885	7985	7485	41101	40948	41167	41031	40500	40720	0	0	0	0	0	0	0	0	0	0	0	0	0	40644	40423	0	40564	0	0	0	0	0	0	0	0	0	0	0	8085	8185	8285	8385	8485	8585	8685	8785	8885	8985	9085	9185	0	0
Indignant	5086	5186	5286	5386	5486	5586	5686	5786	5886	5986	6086	6186	6286	6386	6486	6586	6686	6786	6886	6986	7086	7186	7286	7386	7486	7586	7686	7786	7886	7986	7486	41102	40949	41168	41032	40501	40721	43554	43154	43654	43254	44054	43354	44554	43454	44154	44254	44354	44454	40359	40645	40424	40798	40565	40877	41531	41683	41608	41757	41838	41905	41236	41312	41389	41455	8086	8186	8286	8386	8486	8586	8686	8786	8886	8986	9086	9186	9286	9386
Indignant	5087	5187	5287	5387	5487	5587	5687	5787	5887	5987	6087	6187	6287	6387	6487	6587	6687	6787	6887	6987	7087	7187	7287	7387	7487	7587	7687	7787	7887	7987	7487	41102	40949	41168	41032	40501	40722	0	0	0	0	0	0	0	0	0	0	0	0	0	40646	40425	40799	40566	40878	41532	41684	0	0	0	41906	0	41313	0	0	8087	8187	8287	8387	8487	8587	8687	8787	8887	8987	9087	9187	0	9387
n/uObligatory	5088	5188	5288	5388	5488	5588	5688	5788	5888	5988	6088	6188	6288	6388	6488	6588	6688	6788	6888	6988	7088	7188	7288	7388	7488	7588	7688	7788	7888	7988	7488	41103	40950	41169	41033	40502	40723	0	0	0	0	0	0	0	0	0	0	0	0	40360	40647	40426	40800	40567	40879	41533	41685	41609	41758	41839	41907	41237	41314	41390	41456	8088	8188	8288	8388	8488	8588	8688	8788	8888	8988	9088	9188	9288	9388
n/uObligatory	5089	5189	5289	5389	5489	5589	5689	5789	5889	5989	6089	6189	6289	6389	6489	6589	6689	6789	6889	6989	7089	7189	7289	7389	7489	7589	7689	7789	7889	7989	7489	41104	40951	41169	41033	40502	40724	0	0	0	0	0	0	0	0	0	0	0	0	40361	40648	0	0	0	0	0	41686	41610	41759	0	41908	41238	0	0	41457	8089	8189	8289	8389	8489	8589	8689	8789	8889	8989	9089	9189	0	9389
n/uShutUp1	5090	5190	5290	5390	5490	5590	5690	5790	5890	5990	6090	6190	6290	6390	6490	6590	6690	6790	6890	6990	7090	7190	7290	7390	7490	7590	7690	7790	7890	7990	7490	41105	40952	41170	41034	40503	40725	43548	43148	43648	43248	44048	43348	44548	43448	44148	44248	44348	44448	40362	40649	40427	40801	40568	40880	41534	41687	41611	41760	41840	41909	41239	41315	41391	41458	8090	8190	8290	8390	8490	8590	8690	8790	8890	8990	9090	9190	9290	9390
n/uShutUp2	5091	5191	5291	5391	5491	5591	5691	5791	5891	5991	6091	6191	6291	6391	6491	6591	6691	6791	6891	6991	7091	7191	7291	7391	7491	7591	7691	7791	7891	7991	7491	41106	40953	41170	41034	40503	40726	43549	43149	43649	43249	0	0	0	43449	0	0	44349	0	0	40650	0	0	40569	0	41535	0	0	41761	0	41910	41240	41316	41392	41459	8091	8191	8291	8391	8491	8591	8691	8791	8891	8991	9091	9191	0	9391
Move!1	5092	5192	5292	5392	5492	5592	5692	5792	5892	5992	6092	6192	6292	6392	6492	6592	6692	6792	6892	6992	7092	7192	7292	7392	7492	7592	7692	7792	7892	7992	7492	41107	40954	41171	41035	40504	40727	43506	43106	43606	43206	44006	43306	44506	43406	44106	44206	44306	44406	40363	40651	40428	40802	40570	40881	41536	41688	41612	41762	41841	41911	41241	41317	41393	41460	8092	8192	8292	8392	8492	8592	8692	8792	8892	8992	9092	9192	9292	9392
Move!2	5093	5193	5293	5393	5493	5593	5693	5793	5893	5993	6093	6193	6293	6393	6493	6593	6693	6793	6893	6993	7093	7193	7293	7393	7493	7593	7693	7793	7893	7993	7493	41107	40955	41172	41035	40504	40727	43086	43107	43086	43207	44007	43307	44507	43407	43086	43086	44307	44407	0	0	0	40803	0	0	41537	0	0	0	0	41911	41242	41318	0	0	8093	8193	8293	8393	8493	8593	8693	8793	8893	8993	9093	9193	0	0
n/u	5094	5194	5294	5394	5494	5594	5694	5794	5894	5994	6094	6194	6294	6394	6494	6594	6694	6794	6894	6994	7094	7194	7294	7394	7494	7594	7694	7794	7894	7994	7494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8094	8194	8294	8394	8494	8594	8694	8794	8894	8994	9094	9194	0	0
n/u	5095	5195	5295	5395	5495	5595	5695	5795	5895	5995	6095	6195	6295	6395	6495	6595	6695	6795	6895	6995	7095	7195	7295	7395	7495	7595	7695	7795	7895	7995	7495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8095	8195	8295	8395	8495	8595	8695	8795	8895	8995	9095	9195	0	0
n/u	5096	5196	5296	5396	5496	5596	5696	5796	5896	5996	6096	6196	6296	6396	6496	6596	6696	6796	6896	6996	7096	7196	7296	7396	7496	7596	7696	7796	7896	7996	7496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8096	8196	8296	8396	8496	8596	8696	8796	8896	8996	9096	9196	0	0
n/u	5097	5197	5297	5397	5497	5597	5697	5797	5897	5997	6097	6197	6297	6397	6497	6597	6697	6797	6897	6997	7097	7197	7297	7397	7497	7597	7697	7797	7897	7997	7497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8097	8197	8297	8397	8497	8597	8697	8797	8897	8997	9097	9197	0	0
n/u	5098	5198	5298	5398	5498	5598	5698	5798	5898	5998	6098	6198	6298	6398	6498	6598	6698	6798	6898	6998	7098	7198	7298	7398	7498	7598	7698	7798	7898	7998	7498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8098	8198	8298	8398	8498	8598	8698	8798	8898	8998	9098	9198	0	0
n/u	5099	5199	5299	5399	5499	5599	5699	5799	5899	5999	6099	6199	6299	6399	6499	6599	6699	6799	6899	6999	7099	7199	7299	7399	7499	7599	7699	7799	7899	7999	7499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8099	8199	8299	8399	8499	8599	8699	8799	8899	8999	9099	9199	0	0
																																																																															
Man	x	-	x	-	x	-	x	-	x	-	x	-	x	-	x	-	x	-	x	-	x	x	x	x	-	-	-	-	-	-	x	-	x	-	x	x	-	x	x	x	-	x	-	x	-	x	x	x	x	x	-	x	-	x	-	x	-	x	-	x	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Woman	-	x	-	x	-	x	-	x	-	x	-	x	-	x	-	x	-	x	-	x	-	-	-	-	-	-	-	-	-	-	-	x	-	x	-	-	x	-	-	-	x	-	x	-	x	-	-	-	-	-	x	-	x	-	x	-	x	-	x	-	x	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Dragon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Undead Man	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	x	x	x	x	x	x	x	x	x	-	x	-
Undead Woman	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	x
Undead Dragon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-
																																																																															
Notes																													drgl m1	drgl m2		Elf F1	Elf M1	Elf F2	Elf M2			male a	girl a	male b	girl b	male c	girl c	male h	girl d	male d	male e	male f	male g	mm7 man 1	mm7 girl 1	mm7 man 2	mm7 girl 3	mm7 man 4	mm7 girl 4	Gob M 1	Gob F 1	Gob M 2	Gob F 2	Zombie M	Zombie F	Dwarf M 1	Dwarf M 2	Dwarf F 1	Dwarf F 2	drgg m1	drgg m2	minl m1	minl m2	minz m1	minz m2	trll m1	trll m2	trlz m1	trlz m2	huml m2	huml f2	humz m2	humz f2
